region;absolute;foreigners;invalid;youth;adult;old;longterms;percent
      Kreisfreie Stadt Greifswald, Hansestadt;-;-;-;-;-;-;-;-
      Kreisfreie Stadt Neubrandenburg, Stadt;-;-;-;-;-;-;-;-
      Kreisfreie Stadt Rostock, Hansestadt;12528;786;596;174;1343;2044;4539;13,4
      Kreisfreie Stadt Schwerin, Landeshauptstadt;6017;529;339;72;599;1002;1846;13,6
      Kreisfreie Stadt Stralsund, Hansestadt;-;-;-;-;-;-;-;-
      Kreisfreie Stadt Wismar, Hansestadt;-;-;-;-;-;-;-;-
      Landkreis Bad Doberan;-;-;-;-;-;-;-;-
      Landkreis Demmin;-;-;-;-;-;-;-;-
      Landkreis Güstrow;-;-;-;-;-;-;-;-
      Landkreis Ludwigslust;-;-;-;-;-;-;-;-
      Landkreis Mecklenburg-Strelitz;-;-;-;-;-;-;-;-
      Landkreis Müritz;-;-;-;-;-;-;-;-
      Landkreis Nordvorpommern;-;-;-;-;-;-;-;-
      Landkreis Nordwestmecklenburg;-;-;-;-;-;-;-;-
      Landkreis Ostvorpommern;-;-;-;-;-;-;-;-
      Landkreis Parchim;-;-;-;-;-;-;-;-
      Landkreis Rügen;-;-;-;-;-;-;-;-
      Landkreis Uecker-Randow;-;-;-;-;-;-;-;-
      Landkreis Mecklenburgische Seenplatte;20060;273;1265;229;1896;4232;7273;15,5
      Landkreis Rostock;10794;165;383;131;1050;2208;3430;10,6
      Landkreis Vorpommern-Rügen;16021;224;813;190;1502;3331;4337;15,1
      Landkreis Nordwestmecklenburg;9052;238;475;122;890;1982;3575;11,7
      Landkreis Vorpommern-Greifswald;16755;353;813;203;1601;3350;4820;14,8
      Landkreis Ludwigslust-Parchim;10664;192;616;131;1069;2205;3249;10
  Freistaat Sachsen;207796;8900;10802;2271;17764;48556;80655;10,9
    Chemnitz, Regierungsbezirk;-;-;-;-;-;-;-;-
      Chemnitz, Kreisfreie Stadt;-;-;-;-;-;-;-;-
      Plauen, Kreisfreie Stadt;-;-;-;-;-;-;-;-
      Zwickau, Kreisfreie Stadt;-;-;-;-;-;-;-;-
      Annaberg, Landkreis;-;-;-;-;-;-;-;-
      Chemnitzer Land, Landkreis;-;-;-;-;-;-;-;-
      Freiberg, Landkreis;-;-;-;-;-;-;-;-
      Vogtlandkreis;-;-;-;-;-;-;-;-
      Mittlerer Erzgebirgskreis;-;-;-;-;-;-;-;-
      Mittweida, Landkreis;-;-;-;-;-;-;-;-
      Stollberg, Landkreis;-;-;-;-;-;-;-;-
      Aue-Schwarzenberg, Landkreis;-;-;-;-;-;-;-;-
      Zwickauer Land, Landkreis;-;-;-;-;-;-;-;-
    Dresden, Regierungsbezirk;-;-;-;-;-;-;-;-
      Dresden, Kreisfreie Stadt;-;-;-;-;-;-;-;-
      Görlitz, Kreisfreie Stadt;-;-;-;-;-;-;-;-
      Hoyerswerda, Kreisfreie Stadt;-;-;-;-;-;-;-;-
      Bautzen, Landkreis;-;-;-;-;-;-;-;-
      Meißen, Landkreis;-;-;-;-;-;-;-;-
      Niederschlesischer Oberlausitzkreis;-;-;-;-;-;-;-;-
      Riesa-Großenhain, Landkreis;-;-;-;-;-;-;-;-
      Löbau-Zittau, Landkreis;-;-;-;-;-;-;-;-
      Sächsische Schweiz, Landkreis;-;-;-;-;-;-;-;-
      Weißeritzkreis;-;-;-;-;-;-;-;-
      Kamenz, Landkreis;-;-;-;-;-;-;-;-
    Leipzig, Regierungsbezirk;-;-;-;-;-;-;-;-
      Leipzig, Kreisfreie Stadt;-;-;-;-;-;-;-;-
      Delitzsch, Landkreis;-;-;-;-;-;-;-;-
      Döbeln, Landkreis;-;-;-;-;-;-;-;-
      Leipziger Land, Landkreis;-;-;-;-;-;-;-;-
      Muldentalkreis;-;-;-;-;-;-;-;-
      Torgau-Oschatz, Landkreis;-;-;-;-;-;-;-;-
    Chemnitz, NUTS 2-Region;69587;2263;4274;779;5521;18687;26460;.
      Chemnitz, Stadt;13240;1002;893;164;1092;3251;5440;12,1
      Erzgebirgskreis;17032;264;957;186;1311;4889;6104;10
      Mittelsachsen, Landkreis;14810;319;899;154;1162;4054;6048;9,6
      Vogtlandkreis;10150;289;613;110;813;2700;3490;9,2
      Zwickau, Landkreis;14354;389;911;164;1143;3794;5378;9,3
    Dresden, NUTS 2-Region;81759;3329;3664;753;6766;18519;32613;.
      Dresden, Stadt;24438;1829;1232;283;2377;4273;9062;10,1
      Bautzen, Landkreis;16562;336;657;115;1210;4149;7451;10,9
      Görlitz, Landkreis;17071;615;635;137;1173;4229;6832;14
      Meißen, Landkreis;12140;234;584;108;996;2993;4488;10,3
      Sächsische Schweiz-Osterzgebirge, Landkreis;11548;315;556;109;1010;2875;4781;9,9
    Leipzig, NUTS 2-Region;56450;3309;2865;740;5477;11350;21581;.
      Leipzig, Stadt;30597;2788;1643;425;3068;5379;10751;12,9
      Leipzig, Landkreis;13535;205;648;169;1287;3202;5128;10,7
      Nordsachsen, Landkreis;12319;315;574;146;1123;2770;5702;12,4
  Sachsen-Anhalt;136678;4092;4856;1546;11976;27798;48443;12,4
      Dessau-Roßlau, Kreisfreie Stadt;5322;165;288;54;447;1164;2069;13,4
      Halle (Saale), Kreisfreie Stadt;13846;1010;659;157;1234;2539;5271;13,5
      Magdeburg, Kreisfreie Stadt;13946;905;523;165;1366;2495;5033;12,8
      Altmarkkreis Salzwedel;4720;135;155;72;508;942;1527;10,7
      Anhalt-Bitterfeld, Landkreis;11129;202;339;124;1037;2404;4314;13,1
      Börde, Landkreis;8387;179;382;98;811;1809;2784;9,2
      Burgenlandkreis;12871;237;283;169;1161;2751;5326;14,5
      Harz, Landkreis;11619;174;308;112;903;2287;3222;10,5
      Jerichower Land, Landkreis;4996;86;180;42;388;1131;1876;10,8
      Mansfeld-Südharz, Landkreis;10424;167;407;116;844;2383;4477;15,4
      Saalekreis;10528;263;359;134;1062;2248;2453;10,8
      Salzlandkreis;12611;218;335;113;823;2420;4057;12,9
      Stendal, Landkreis;8798;181;311;109;743;1691;3163;15,3
      Wittenberg, Landkreis;7481;172;328;81;649;1535;2871;11,7
    Dessau, Stat. Region;-;-;-;-;-;-;-;-
      Dessau, Kreisfreie Stadt;-;-;-;-;-;-;-;-
      Anhalt-Zerbst, Kreis;-;-;-;-;-;-;-;-
      Bernburg, Kreis;-;-;-;-;-;-;-;-
      Bitterfeld, Kreis;-;-;-;-;-;-;-;-
      Köthen, Kreis;-;-;-;-;-;-;-;-
      Wittenberg, Kreis;-;-;-;-;-;-;-;-
    Halle, Stat. Region;-;-;-;-;-;-;-;-
      Halle (Saale), Kreisfreie Stadt;-;-;-;-;-;-;-;-
      Burgenlandkreis;-;-;-;-;-;-;-;-
      Mansfelder Land, Kreis;-;-;-;-;-;-;-;-
      Merseburg-Querfurt, Kreis;-;-;-;-;-;-;-;-
      Saalkreis;-;-;-;-;-;-;-;-
      Sangerhausen, Kreis;-;-;-;-;-;-;-;-
      Weißenfels, Kreis;-;-;-;-;-;-;-;-
    Magdeburg, Stat. Region;-;-;-;-;-;-;-;-
      Magdeburg, Kreisfreie Stadt;-;-;-;-;-;-;-;-
      Aschersleben-Staßfurt, Kreis;-;-;-;-;-;-;-;-
      Bördekreis;-;-;-;-;-;-;-;-
      Halberstadt, Kreis;-;-;-;-;-;-;-;-
      Jerichower Land, Kreis;-;-;-;-;-;-;-;-
      Ohrekreis;-;-;-;-;-;-;-;-
      Stendal, Kreis;-;-;-;-;-;-;-;-
      Quedlinburg, Kreis;-;-;-;-;-;-;-;-
      Schönebeck, Kreis;-;-;-;-;-;-;-;-
      Wernigerode, Kreis;-;-;-;-;-;-;-;-
      Altmarkkreis Salzwedel, Kreis;-;-;-;-;-;-;-;-
  Thüringen;99316;2910;6598;991;7938;24271;34104;9,4
      Erfurt, krsfr. Stadt;10118;795;654;86;753;2146;3148;10,6
      Gera, krsfr. Stadt;6027;179;344;50;481;1366;2078;13,4
      Jena, krsfr. Stadt;3684;217;142;21;296;727;1207;7,5
      Suhl, krsfr. Stadt;1515;44;109;22;130;426;323;8,6
      Weimar, krsfr. Stadt;2868;133;137;22;224;537;979;10,4
      Eisenach, krsfr. Stadt;1963;90;191;25;163;387;527;10
      Eichsfeld, Kreis;3631;116;321;46;329;1010;1126;7
      Nordhausen, Kreis;4591;132;277;42;380;928;1645;11,3
      Wartburgkreis;4336;83;325;48;383;1144;1299;6,7
      Unstrut-Hainich-Kreis;6345;121;494;77;545;1534;2490;12,3
      Kyffhäuserkreis;5151;66;325;33;314;1170;2321;13,9
      Schmalkalden-Meiningen, Kreis;4779;47;304;57;391;1151;1593;7,7
      Gotha, Kreis;5880;198;653;68;522;1515;2094;8,8
      Sömmerda, Kreis;3917;42;298;43;322;1049;1484;10,9
      Hildburghausen, Kreis;2087;39;198;20;142;549;553;6,1
      Ilm-Kreis;4929;127;320;50;364;1166;1784;9,4
      Weimarer Land, Kreis;3414;81;216;39;273;874;1173;8,3
      Sonneberg, Kreis;1422;19;145;22;146;391;181;4,9
      Saalfeld-Rudolstadt, Kreis;5016;100;289;51;446;1355;1637;9,2
      Saale-Holzland-Kreis;3399;62;193;36;279;904;1211;8,1
      Saale-Orla-Kreis;3473;53;199;37;318;976;996;8,2
      Greiz, Kreis;4959;54;197;36;312;1513;1722;10,1
      Altenburger Land, Kreis;5811;115;270;60;427;1454;2534;13
